feature	Bifidobacterium.adolescentis	Bifidobacterium.bifidum	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Collinsella.aerofaciens	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.faecis	Bacteroides.finegoldii	Bacteroides.fragilis	Bacteroides.intestinalis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.salyersiae	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Bacteroides.xylanisolvens	Bacteroidales.bacterium.ph8	Barnesiella.intestinihominis	Coprobacter.fastidiosus	Odoribacter.splanchnicus	Parabacteroides.distasonis	Parabacteroides.goldsteinii	Parabacteroides.merdae	Parabacteroides.unclassified	Paraprevotella.clara	Paraprevotella.unclassified	Prevotella.copri	Alistipes.finegoldii	Alistipes.onderdonkii	Alistipes.putredinis	Alistipes.shahii	Alistipes.unclassified	Streptococcus.salivarius	Clostridium.bolteae	Clostridium.citroniae	Clostridium.clostridioforme	Clostridium.hathewayi	Clostridium.leptum	Clostridium.nexile	Clostridium.symbiosum	Flavonifractor.plautii	Eubacterium.eligens	Eubacterium.hallii	Eubacterium.rectale	Eubacterium.siraeum	Eubacterium.sp.3.1.31	Eubacterium.ventriosum	Ruminococcus.gnavus	Ruminococcus.obeum	Ruminococcus.torques	Coprococcus.comes	Dorea.longicatena	Lachnospiraceae.bacterium.1.1.57FAA	Lachnospiraceae.bacterium.3.1.46FAA	Roseburia.hominis	Roseburia.intestinalis	Roseburia.inulinivorans	Roseburia.unclassified	Oscillibacter.unclassified	Peptostreptococcaceae.noname.unclassified	Faecalibacterium.prausnitzii	Ruminococcus.bromii	Ruminococcus.callidus	Ruminococcus.lactaris	Subdoligranulum.unclassified	Coprobacillus.unclassified	Acidaminococcus.unclassified	Dialister.invisus	Veillonella.atypica	Veillonella.dispar	Veillonella.parvula	Veillonella.unclassified	Burkholderiales.bacterium.1.1.47	Parasutterella.excrementihominis	Sutterella.wadsworthensis	Bilophila.unclassified	Escherichia.coli	Escherichia.unclassified	Klebsiella.pneumoniae	Haemophilus.parainfluenzae	Akkermansia.muciniphila	C2likevirus.unclassified
CSM5FZ4M	NA	NA	NA	NA	NA	3.05844994483538e-05	NA	0.133622552907604	NA	NA	NA	NA	NA	NA	0.19523241866927	0.00924807752382983	NA	0.020387790995146	0.333270800477159	3.70287250846291e-05	0.0113735468015467	NA	NA	NA	NA	0.00266310181651469	NA	NA	0.0619783118051872	NA	NA	NA	6.93521425618191e-05	0.00424786987655932	0.0600924040582664	NA	NA	NA	3.77447501553263e-05	NA	8.06039651013472e-05	NA	0.000836419571870198	NA	NA	NA	NA	0.00161330677357671	NA	0.00287934138786526	NA	NA	0.000798061085939989	0.00165647285641017	0.00103066694462078	0.00139573744138056	0.0031402813814865	NA	NA	NA	NA	NA	NA	0.00424981337317979	NA	0.0957623181373038	0.00727368953603008	NA	NA	0.0160161510706518	NA	0.0294495997112987	NA	NA	NA	NA	NA	NA	NA	NA	0.000489147412582034	0.00103680430236961	NA	NA	NA	NA	NA
CSM5MCUO	0.000299977664880963	NA	0.000305756756534039	NA	0.000268192660789045	0.0275502141528028	0.000425619398227467	0.00620064428310314	NA	0.00277867288297157	NA	0.00667099813153405	NA	NA	0.0368528393908024	0.0138934714350737	0.0895145980390258	0.000667378065714479	0.0724608196314459	0.181032186436921	0.00096789083167443	0.00258806987863586	0.0209036166304706	NA	0.00325566198478194	NA	NA	0.00278873278325656	NA	0.00761748492004894	0.0217891018959808	NA	NA	0.00372280522673891	0.0505060504414102	0.00225352468405224	NA	NA	7.44860701952016e-05	4.60186927930125e-06	NA	2.07619218647545e-05	NA	NA	NA	7.7589656453335e-05	0.0797714775928028	0.000183539670093062	0.0404115826267234	NA	NA	NA	NA	0.00130232900604225	0.00229879423533467	0.00143385685125763	0.00876838032073744	0.000127461077015065	0.0017799602291474	9.74954165917079e-05	0.0717067551909353	0.00809832674962802	NA	NA	0.00207619218647545	0.171987907999857	NA	NA	0.000626817403927149	0.0343431083101305	NA	NA	NA	NA	NA	2.20461644543269e-05	4.53765714982263e-05	0.0010391662953957	0.00928582306411934	NA	0.00124154152346916	0.00282522667684358	NA	0.00477716839277789	0.000257918720072465	NA	NA
CSM5MCVL	NA	NA	NA	NA	0.000728174660607289	NA	NA	3.43734622398472e-05	NA	NA	NA	0.294397397024344	NA	NA	2.78153674704026e-05	NA	NA	0.146294133716386	NA	0.355045074463774	0.0263168428155846	NA	NA	NA	NA	NA	NA	NA	0.000140320613946218	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00488713745042985	NA	0.0312321348452832	0.00812039124236547	NA	0.00142401112976525	NA	0.00533648001273627	NA	NA	0.0164571996121226	NA	NA	NA	8.25415376154225e-05	NA	0.000929440327669551	NA	7.27043954612557e-05	NA	2.35186846904217e-05	0.0253956566416766	NA	NA	NA	NA	NA	0.000137154637160969	NA	NA	NA	NA	0.000574737857122181	0.010913461190552	0.0270238732740904	NA	NA	NA	NA	NA	NA	NA	NA	0.0127418127840333	NA	0.0156169719874374	NA	NA	0.0160466402654355
CSM5MCVN	NA	NA	NA	NA	8.41924246640323e-06	NA	NA	6.60750674578481e-06	NA	NA	NA	0.158837002080405	NA	1.33215861810178e-05	NA	NA	NA	0.0887731320018923	NA	0.451652926427437	0.0175349374583501	NA	NA	NA	NA	NA	NA	NA	0.000714143591992	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0014568486647561	NA	0.094280275729125	0.000636345528694857	NA	0.00196807785603884	NA	0.00137457454850214	NA	0.000240001696637216	0.0193823750299336	NA	NA	NA	NA	1.67319122433583e-05	NA	NA	0.00566380558072151	NA	0.00112295642871507	0.00103013161620574	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.18478254961731e-05	2.3232846299695e-05	0.130624014002799	0.0239087302961751	NA	NA	NA	NA	NA	NA	NA	NA	0.000197479193547407	0.000452081348639019	NA	NA	NA	NA
CSM5MCW6	NA	NA	NA	NA	NA	NA	NA	0.817654738214155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00345351961421249	0.021006605360938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0397001047266348	NA	0.00924637811848661	NA	0.0161016688629885	NA	NA	NA	0.00335033006310241	0.000513283477170209	0.0247008322795771	NA	NA	NA	NA	NA	0.000306392013723083	0.000537364454837407	0.00119482638127463	NA	NA	0.00154845810012358	NA	0.0305460541012467	NA	0.00121388621891761	NA	0.0129138597810783	NA	NA	NA	NA	NA	0.00977021623693223	NA	NA	NA	NA	NA	NA	1.32189196556113e-05	0.000379147307951641	0.00584911576699451	NA	NA	NA	NA	NA	NA	NA	NA
CSM5MCWC	NA	2.3362484522354e-05	0.000319792969955339	NA	NA	1.45636267152337e-05	NA	3.20602060328408e-05	NA	NA	NA	NA	NA	NA	6.67499557781543e-05	NA	0.000267303232002518	NA	0.000200249867334463	0.000559587129273527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.97840446771613e-05	NA	NA	NA	8.24260817563572e-05	NA	NA	NA	NA	NA	0.000609649596107143	0.0100930989951401	NA	NA	NA	0.00242818134587531	0.000220274854067909	NA	0.000135927182675514	NA	NA	NA	0.00999610928666851	NA	0.00375761796512355	NA	NA	NA	NA	NA	0.726387177859404	NA	NA	0.00414476770863685	NA	0.00048595990532429	NA	NA	NA	0.0524529243408467	0.000397263373176652	NA	NA	NA	NA	0.136190137046761	NA	NA	NA	NA	NA	0.0510650309421443	NA	NA	NA	NA	NA
CSM5MCWE	NA	0.000345665281124998	0.00222954106325624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0354432979314475	0.00718231454422254	NA	NA	NA	0.00223248938477172	NA	NA	NA	NA	NA	NA	0.0403862097852758	NA	0.00487998043941174	NA	NA	NA	NA	NA	0.264331257138878	NA	NA	0.0592043293559798	0.000195809215131396	NA	NA	NA	NA	0.0393071241106109	0.000390703433930402	NA	NA	1.02682921745955e-05	NA	0.316267465627909	0.00676131456506412	NA	NA	NA	NA	0.220599515763608	NA	0.000232714067204447	NA	NA	NA
CSM5MCWG	NA	NA	0.000440924822737195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33705736433142e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.37597188627855e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.965994497008926	NA	0.0334774478758306	NA	NA	NA
CSM5MCWQ	NA	NA	NA	NA	NA	8.74408596902774e-05	0.000103173792829165	0.0719528037692255	NA	NA	NA	0.012178146463547	NA	NA	0.13158083441912	0.0216102004204439	0.000112378093849194	0.00435470465003428	0.232463184401321	0.000896242055136332	2.76129030600876e-05	NA	NA	NA	NA	0.000489219301890157	NA	5.77944482652996e-05	NA	NA	NA	NA	0.00038850712445007	0.0174426855667356	0.122937353600776	NA	NA	NA	0.000201531381636221	NA	0.000405631405417566	NA	0.000130144535352971	NA	0.000160540134070277	NA	NA	0.00500767488867612	1.43415853102781e-05	0.0211801669146477	0.000210414602388109	NA	0.00252797197782662	0.027371664751958	0.00472951234971035	0.00915121574902996	0.0347940773105632	NA	NA	NA	NA	NA	0.000156901224364684	NA	NA	0.131267246023902	0.0356739442720243	NA	NA	0.0648887167898652	7.97349332549041e-05	0.0441823573242369	NA	NA	NA	NA	NA	NA	NA	NA	0.00118392997539027	NA	NA	NA	NA	NA	NA
CSM5MCX3	0.000272006463876331	NA	NA	NA	0.00159925659422838	0.0260137383083555	0.00164832274643609	0.0043298201039881	NA	0.00476338062360508	NA	0.00833331815639397	NA	NA	0.0360509803749318	0.0188267254546306	0.0751417052973339	0.0012150836208292	0.0499203103551972	0.192073630939187	0.00135242599447609	0.000730314322270559	0.0360365176444776	NA	0.00991736210081123	8.9990322826356e-06	NA	0.00805145560954141	NA	0.0069303261709964	0.0221544390351452	NA	NA	0.00520808280223866	0.031994238048187	0.00369442414603201	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000132842857505573	0.0124434118888144	0.000908473735199404	0.0873242523812885	NA	NA	NA	NA	0.00200474870363048	0.01070970546703	0.00245437892375216	0.00132960701975941	NA	0.00305152899450705	0.000749812225549602	0.068455317179999	0.0233390973563521	NA	0.00230803751782264	0.00108566896609797	0.15733522370148	NA	NA	0.00214316239064435	0.0274264792453926	0.000342391752086945	NA	NA	1.23201037202749e-05	NA	0.000148591164000186	0.000135521140923024	0.000198835760911568	0.0013958141858388	0.00462743095733527	0.000533942582103046	0.0380491940670237	NA	NA	0.00508734578577996	NA	NA
