"Metadata_1"	"Metadata_2"	"Metadata_3"	"Metadata_4"	"Metadata_5"	"ID"
"Sample1"	0	0	1	-0.060180198291935	-0.203285558495469	"Subject1"
"Sample2"	1	1	1	0.344849044625307	2.29246040458721	"Subject2"
"Sample3"	0	1	0	-0.034471796318254	1.82120509743764	"Subject3"
"Sample4"	1	1	1	1.04078090958055	-1.27435775922553	"Subject4"
"Sample5"	0	0	1	1.23157998954036	0.897497961455052	"Subject5"
"Sample6"	0	0	1	0.662142252784826	0.30439313046341	"Subject6"
"Sample7"	0	0	1	-0.562650772169481	1.63292709105407	"Subject7"
"Sample8"	0	1	0	-0.914474754670139	0.245093861454332	"Subject8"
"Sample9"	0	1	0	0.476749625627673	0.318916564490997	"Subject9"
"Sample10"	1	1	0	0.379440181073664	0.533265543035521	"Subject10"
"Sample11"	0	1	1	-2.19292167870029	0.808015522324147	"Subject11"
"Sample12"	1	1	0	2.21234832414536	1.07354235101762	"Subject12"
"Sample13"	0	1	0	-0.651615554032424	0.713167763106089	"Subject13"
"Sample14"	1	0	0	-0.22146423001664	-1.02572940806884	"Subject14"
"Sample15"	0	0	0	0.207755769049693	0.624981833109284	"Subject15"
"Sample16"	0	1	1	1.2439408938749	0.119158545586051	"Subject16"
"Sample17"	1	0	0	0.221807997640284	0.00427683545183863	"Subject17"
"Sample18"	1	1	0	-0.73477324173264	1.56577451063427	"Subject18"
"Sample19"	0	0	0	0.121301677684473	1.02760647586252	"Subject19"
"Sample20"	0	0	0	-0.432806570244207	2.25203468783989	"Subject20"
"Sample21"	1	1	1	0.228865557656966	0.713900317946381	"Subject21"
"Sample22"	0	0	1	-0.216419354140914	0.084633483525295	"Subject22"
"Sample23"	1	0	1	-0.0322668490723404	-1.15476612132665	"Subject23"
"Sample24"	1	0	0	0.247526337611995	0.17429166727085	"Subject24"
"Sample25"	0	0	0	1.08816800046403	-0.789324408016363	"Subject25"
"Sample26"	1	1	1	1.89797160122271	0.955448384811391	"Subject26"
"Sample27"	0	1	0	0.172829284239039	0.815578867598747	"Subject27"
"Sample28"	1	0	1	-0.508190027546387	-1.01636568226826	"Subject28"
"Sample29"	1	1	1	-1.20672845419678	-0.949478432524548	"Subject29"
"Sample30"	1	0	1	1.8787970910341	1.27743613498331	"Subject30"
"Sample31"	1	1	0	0.42418671223149	-0.875388843277694	"Subject31"
"Sample32"	0	0	1	-0.398912096193975	-1.91967051272953	"Subject32"
"Sample33"	0	1	1	-0.123720610621459	0.609277274922806	"Subject33"
"Sample34"	1	1	0	0.0640500310818374	0.988009335221874	"Subject34"
"Sample35"	0	0	1	-1.31583313874573	-0.962601741464558	"Subject35"
"Sample36"	1	0	1	0.551276891153491	-0.200700689610409	"Subject36"
"Sample37"	1	1	0	0.947738008969564	0.288075171300814	"Subject37"
"Sample38"	0	0	1	-0.0462987837333498	-0.601992045216497	"Subject38"
"Sample39"	1	1	1	0.535489431870046	-0.287303165054453	"Subject39"
"Sample40"	1	0	1	-1.51526046956299	-1.69609084971448	"Subject40"
"Sample41"	0	1	0	0.322137879701815	-0.87683488492924	"Subject41"
"Sample42"	0	1	0	-0.591724829724181	-1.34006102961992	"Subject42"
"Sample43"	0	0	0	1.61508372020697	0.100585122623518	"Subject43"
"Sample44"	0	1	0	0.468938465738578	-0.591553845880565	"Subject44"
"Sample45"	0	0	0	-0.394236616016677	0.680599823882601	"Subject45"
"Sample46"	1	1	0	-0.356374064518533	0.228507210692396	"Subject46"
"Sample47"	1	0	1	0.178619528390045	2.90647751940473	"Subject47"
"Sample48"	1	0	0	-0.872707891156095	-1.20611181258248	"Subject48"
"Sample49"	1	1	1	-1.02527408591822	-0.550168250384408	"Subject49"
"Sample50"	1	0	1	-0.38972194257567	0.208685276027072	"Subject50"
